State,Livestock,Livestock title,Variety,Year,Unit,Value
Texas,Chickens,Genetically engineered (GE) pigs,High-yield,2019,Percent of all pigs,9
Kansas,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2023,Percent of all pigs,57
California,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2021,Percent of all pigs,78
California,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2016,Percent of all chickens,97
Kansas,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2012,Percent of all livestock,25
Nebraska,Chickens,Genetically engineered (GE) cattle,High-yield,2023,Percent of all livestock,15
Texas,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2024,Percent of all pigs,35
Iowa,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2014,Percent of all chickens,21
Iowa,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2017,Percent of all pigs,76
Kansas,Chickens,Genetically engineered (GE) pigs,High-yield,2023,Percent of all cattle,53
Kansas,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2020,Percent of all pigs,65
Texas,Chickens,Genetically engineered (GE) cattle,High-yield,2016,Percent of all livestock,47
Texas,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2018,Percent of all pigs,81
California,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2023,Percent of all chickens,44
Nebraska,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2018,Percent of all chickens,43
Kansas,Pigs,Genetically engineered (GE) chickens,High-yield,2023,Percent of all chickens,10
Texas,Pigs,Genetically engineered (GE) pigs,High-yield,2010,Percent of all pigs,11
Kansas,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2019,Percent of all livestock,77
Nebraska,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2019,Percent of all cattle,98
Texas,Chickens,Genetically engineered (GE) cattle,High-yield,2013,Percent of all chickens,34
Iowa,Chickens,Genetically engineered (GE) cattle,High-yield,2022,Percent of all livestock,77
Kansas,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2017,Percent of all cattle,40
California,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2014,Percent of all livestock,75
Texas,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2019,Percent of all livestock,60
Iowa,Pigs,Genetically engineered (GE) pigs,High-yield,2021,Percent of all cattle,81
California,Cattle,Genetically engineered (GE) cattle,High-yield,2021,Percent of all pigs,78
Texas,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2024,Percent of all livestock,5
Texas,Cattle,Genetically engineered (GE) pigs,High-yield,2012,Percent of all pigs,33
California,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2015,Percent of all pigs,56
California,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2020,Percent of all livestock,94
Iowa,Chickens,Genetically engineered (GE) pigs,High-yield,2020,Percent of all livestock,56
California,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2018,Percent of all chickens,44
Nebraska,Pigs,Genetically engineered (GE) cattle,High-yield,2014,Percent of all chickens,46
Iowa,Pigs,Genetically engineered (GE) cattle,High-yield,2016,Percent of all chickens,96
Kansas,Pigs,Genetically engineered (GE) pigs,High-yield,2022,Percent of all cattle,66
Kansas,Cattle,Genetically engineered (GE) cattle,High-yield,2024,Percent of all livestock,79
Iowa,Pigs,Genetically engineered (GE) pigs,High-yield,2019,Percent of all pigs,24
Nebraska,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2011,Percent of all chickens,73
Kansas,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2017,Percent of all pigs,68
Texas,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2023,Percent of all cattle,53
California,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2012,Percent of all pigs,29
Kansas,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2012,Percent of all pigs,14
Kansas,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2021,Percent of all chickens,98
California,Pigs,Genetically engineered (GE) pigs,High-yield,2010,Percent of all pigs,47
Kansas,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2012,Percent of all livestock,87
Kansas,Cattle,Genetically engineered (GE) chickens,High-yield,2015,Percent of all cattle,16
Iowa,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2020,Percent of all chickens,4
Iowa,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2010,Percent of all livestock,4
Texas,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2017,Percent of all chickens,65
California,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2013,Percent of all livestock,50
Texas,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2015,Percent of all livestock,94
Nebraska,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2017,Percent of all chickens,48
Texas,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2014,Percent of all cattle,38
California,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2011,Percent of all pigs,64
California,Chickens,Genetically engineered (GE) cattle,High-yield,2021,Percent of all cattle,8
Nebraska,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2010,Percent of all chickens,95
Iowa,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2016,Percent of all cattle,9
Nebraska,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2011,Percent of all pigs,80
Texas,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2024,Percent of all chickens,80
Iowa,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2017,Percent of all livestock,77
Texas,Cattle,Genetically engineered (GE) pigs,High-yield,2016,Percent of all chickens,77
Iowa,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2015,Percent of all livestock,38
California,Cattle,Genetically engineered (GE) chickens,High-yield,2015,Percent of all pigs,92
Texas,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2018,Percent of all pigs,33
Iowa,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2023,Percent of all pigs,42
Texas,Chickens,Genetically engineered (GE) chickens,High-yield,2018,Percent of all pigs,24
California,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2016,Percent of all pigs,36
California,Chickens,Genetically engineered (GE) cattle,High-yield,2022,Percent of all chickens,96
California,Cattle,Genetically engineered (GE) pigs,High-yield,2024,Percent of all livestock,19
Nebraska,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2019,Percent of all livestock,92
Iowa,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2017,Percent of all pigs,82
Iowa,Pigs,Genetically engineered (GE) cattle,High-yield,2016,Percent of all livestock,70
Iowa,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2022,Percent of all pigs,68
Nebraska,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2022,Percent of all pigs,38
Texas,Chickens,Genetically engineered (GE) chickens,High-yield,2018,Percent of all livestock,35
Kansas,Cattle,Genetically engineered (GE) pigs,High-yield,2015,Percent of all chickens,30
Texas,Pigs,Genetically engineered (GE) pigs,High-yield,2022,Percent of all livestock,55
California,Chickens,Genetically engineered (GE) chickens,High-yield,2012,Percent of all cattle,95
Kansas,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2013,Percent of all pigs,41
Kansas,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2013,Percent of all livestock,84
Iowa,Chickens,Genetically engineered (GE) chickens,High-yield,2021,Percent of all livestock,0
Kansas,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2021,Percent of all cattle,71
Kansas,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2023,Percent of all chickens,19
Nebraska,Chickens,Genetically engineered (GE) pigs,Disease-resistant,2015,Percent of all livestock,78
California,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2014,Percent of all pigs,34
Kansas,Pigs,Genetically engineered (GE) cattle,High-yield,2017,Percent of all livestock,22
Nebraska,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2010,Percent of all pigs,13
Texas,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2014,Percent of all pigs,31
Kansas,Cattle,Genetically engineered (GE) pigs,High-yield,2012,Percent of all livestock,12
Kansas,Pigs,Genetically engineered (GE) chickens,High-yield,2010,Percent of all cattle,68
California,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2024,Percent of all chickens,35
Texas,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2020,Percent of all chickens,14
California,Pigs,Genetically engineered (GE) cattle,High-yield,2015,Percent of all cattle,84
Iowa,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2010,Percent of all pigs,85
Iowa,Chickens,Genetically engineered (GE) pigs,High-yield,2022,Percent of all cattle,52
Kansas,Cattle,Genetically engineered (GE) chickens,High-yield,2010,Percent of all pigs,94
California,Cattle,Genetically engineered (GE) cattle,High-yield,2015,Percent of all pigs,84
California,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2010,Percent of all pigs,58
Kansas,Cattle,Genetically engineered (GE) cattle,High-yield,2020,Percent of all chickens,63
Texas,Cattle,Genetically engineered (GE) cattle,High-yield,2012,Percent of all cattle,86
Nebraska,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2023,Percent of all chickens,87
Nebraska,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2014,Percent of all cattle,17
Nebraska,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2022,Percent of all chickens,89
California,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2016,Percent of all chickens,65
Texas,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2013,Percent of all livestock,39
Nebraska,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2019,Percent of all cattle,61
Iowa,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2012,Percent of all pigs,76
Texas,Pigs,Genetically engineered (GE) chickens,High-yield,2011,Percent of all chickens,1
Nebraska,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2019,Percent of all cattle,24
Iowa,Pigs,Genetically engineered (GE) chickens,High-yield,2021,Percent of all livestock,19
California,Chickens,Genetically engineered (GE) chickens,High-yield,2012,Percent of all chickens,89
Iowa,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2015,Percent of all cattle,55
Nebraska,Chickens,Genetically engineered (GE) pigs,High-yield,2011,Percent of all cattle,51
Iowa,Chickens,Genetically engineered (GE) pigs,Disease-resistant,2011,Percent of all livestock,76
California,Pigs,Genetically engineered (GE) cattle,High-yield,2015,Percent of all chickens,98
Iowa,Chickens,Genetically engineered (GE) cattle,High-yield,2024,Percent of all pigs,68
California,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2011,Percent of all pigs,29
Iowa,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2023,Percent of all cattle,71
Iowa,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2024,Percent of all cattle,14
Nebraska,Pigs,Genetically engineered (GE) chickens,High-yield,2016,Percent of all cattle,30
California,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2021,Percent of all livestock,40
Nebraska,Pigs,Genetically engineered (GE) pigs,High-yield,2021,Percent of all cattle,43
Kansas,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2019,Percent of all pigs,87
California,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2011,Percent of all livestock,66
Kansas,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2024,Percent of all pigs,49
Kansas,Chickens,Genetically engineered (GE) cattle,High-yield,2024,Percent of all livestock,5
Iowa,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2022,Percent of all livestock,1
Iowa,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2022,Percent of all cattle,2
Texas,Cattle,Genetically engineered (GE) chickens,High-yield,2017,Percent of all pigs,67
Kansas,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2014,Percent of all pigs,22
Nebraska,Chickens,Genetically engineered (GE) pigs,High-yield,2020,Percent of all livestock,77
Iowa,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2012,Percent of all chickens,62
Texas,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2015,Percent of all cattle,14
Texas,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2024,Percent of all pigs,62
Kansas,Pigs,Genetically engineered (GE) cattle,High-yield,2017,Percent of all pigs,74
Nebraska,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2011,Percent of all livestock,15
Texas,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2017,Percent of all pigs,90
Kansas,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2010,Percent of all cattle,66
Kansas,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2020,Percent of all chickens,8
California,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2014,Percent of all livestock,0
Nebraska,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2020,Percent of all chickens,25
Nebraska,Cattle,Genetically engineered (GE) chickens,High-yield,2019,Percent of all cattle,67
California,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2023,Percent of all livestock,70
Nebraska,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2017,Percent of all chickens,56
Nebraska,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2012,Percent of all livestock,29
Texas,Chickens,Genetically engineered (GE) cattle,High-yield,2012,Percent of all cattle,52
Kansas,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2017,Percent of all livestock,79
Nebraska,Pigs,Genetically engineered (GE) cattle,High-yield,2011,Percent of all chickens,41
Iowa,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2023,Percent of all cattle,45
Texas,Chickens,Genetically engineered (GE) pigs,High-yield,2011,Percent of all pigs,71
Kansas,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2020,Percent of all cattle,61
Kansas,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2020,Percent of all chickens,46
Nebraska,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2014,Percent of all livestock,83
Kansas,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2021,Percent of all cattle,29
California,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2013,Percent of all cattle,91
California,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2017,Percent of all livestock,69
Kansas,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2011,Percent of all chickens,17
Nebraska,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2022,Percent of all livestock,69
California,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2020,Percent of all pigs,18
California,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2021,Percent of all pigs,83
Iowa,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2018,Percent of all chickens,85
Iowa,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2010,Percent of all chickens,73
Kansas,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2023,Percent of all chickens,89
Kansas,Cattle,Genetically engineered (GE) pigs,High-yield,2021,Percent of all livestock,2
California,Pigs,Genetically engineered (GE) chickens,High-yield,2013,Percent of all chickens,52
Nebraska,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2020,Percent of all chickens,56
Iowa,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2017,Percent of all cattle,41
Kansas,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2017,Percent of all pigs,18
Kansas,Pigs,Genetically engineered (GE) chickens,High-yield,2020,Percent of all livestock,39
Iowa,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2014,Percent of all livestock,22
Texas,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2015,Percent of all livestock,53
Nebraska,Cattle,Genetically engineered (GE) cattle,High-yield,2011,Percent of all livestock,75
Texas,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2020,Percent of all cattle,29
California,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2018,Percent of all pigs,80
Texas,Pigs,Genetically engineered (GE) chickens,High-yield,2012,Percent of all livestock,64
Iowa,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2010,Percent of all chickens,32
California,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2023,Percent of all chickens,12
Texas,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2024,Percent of all livestock,20
California,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2019,Percent of all chickens,17
California,Cattle,Genetically engineered (GE) cattle,High-yield,2014,Percent of all cattle,21
Kansas,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2020,Percent of all chickens,41
Texas,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2010,Percent of all cattle,49
Texas,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2024,Percent of all pigs,94
Texas,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2021,Percent of all pigs,47
Nebraska,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2023,Percent of all livestock,99
Texas,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2016,Percent of all livestock,68
Iowa,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2012,Percent of all pigs,0
California,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2017,Percent of all pigs,55
Iowa,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2015,Percent of all pigs,89
Texas,Cattle,Genetically engineered (GE) pigs,High-yield,2024,Percent of all pigs,26
California,Chickens,Genetically engineered (GE) pigs,High-yield,2021,Percent of all chickens,29
Texas,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2011,Percent of all pigs,16
Texas,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2021,Percent of all chickens,78
Nebraska,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2015,Percent of all chickens,73
Nebraska,Pigs,Genetically engineered (GE) pigs,High-yield,2019,Percent of all livestock,63
Texas,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2013,Percent of all livestock,36
Nebraska,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2017,Percent of all livestock,64
Texas,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2024,Percent of all livestock,88
Kansas,Chickens,Genetically engineered (GE) pigs,Disease-resistant,2014,Percent of all cattle,23
Texas,Pigs,Genetically engineered (GE) pigs,High-yield,2023,Percent of all pigs,47
California,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2012,Percent of all livestock,85
Iowa,Cattle,Genetically engineered (GE) chickens,High-yield,2017,Percent of all livestock,95
California,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2024,Percent of all livestock,15
California,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2010,Percent of all cattle,76
Kansas,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2010,Percent of all livestock,88
Texas,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2017,Percent of all chickens,90
Nebraska,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2016,Percent of all cattle,21
California,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2018,Percent of all chickens,91
Iowa,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2014,Percent of all cattle,72
Kansas,Pigs,Genetically engineered (GE) cattle,High-yield,2011,Percent of all chickens,29
California,Chickens,Genetically engineered (GE) chickens,High-yield,2014,Percent of all livestock,40
Iowa,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2022,Percent of all cattle,95
California,Pigs,Genetically engineered (GE) cattle,High-yield,2013,Percent of all cattle,63
Nebraska,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2013,Percent of all chickens,12
Texas,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2015,Percent of all livestock,43
Kansas,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2022,Percent of all livestock,6
Kansas,Cattle,Genetically engineered (GE) cattle,High-yield,2023,Percent of all cattle,44
Texas,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2020,Percent of all livestock,10
Kansas,Cattle,Genetically engineered (GE) chickens,High-yield,2018,Percent of all pigs,67
Kansas,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2018,Percent of all chickens,59
Texas,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2014,Percent of all cattle,5
Iowa,Chickens,Genetically engineered (GE) chickens,High-yield,2015,Percent of all cattle,23
California,Cattle,Genetically engineered (GE) chickens,High-yield,2010,Percent of all livestock,60
Iowa,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2011,Percent of all pigs,17
Texas,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2023,Percent of all pigs,78
Texas,Cattle,Genetically engineered (GE) pigs,High-yield,2010,Percent of all cattle,61
Kansas,Chickens,Genetically engineered (GE) pigs,Disease-resistant,2014,Percent of all chickens,57
Kansas,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2015,Percent of all chickens,2
Kansas,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2021,Percent of all pigs,24
Iowa,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2018,Percent of all cattle,40
Kansas,Pigs,Genetically engineered (GE) pigs,High-yield,2012,Percent of all livestock,78
Kansas,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2013,Percent of all chickens,48
Texas,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2012,Percent of all cattle,45
California,Cattle,Genetically engineered (GE) cattle,High-yield,2021,Percent of all pigs,48
Nebraska,Cattle,Genetically engineered (GE) cattle,High-yield,2019,Percent of all pigs,36
Texas,Cattle,Genetically engineered (GE) chickens,High-yield,2023,Percent of all chickens,17
Kansas,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2014,Percent of all pigs,83
Nebraska,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2021,Percent of all chickens,61
Iowa,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2022,Percent of all pigs,91
Kansas,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2011,Percent of all pigs,64
California,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2019,Percent of all cattle,48
Nebraska,Cattle,Genetically engineered (GE) chickens,High-yield,2017,Percent of all livestock,64
Kansas,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2024,Percent of all chickens,4
Iowa,Chickens,Genetically engineered (GE) cattle,High-yield,2011,Percent of all livestock,46
California,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2021,Percent of all livestock,97
Iowa,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2015,Percent of all chickens,48
Texas,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2020,Percent of all livestock,98
Texas,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2018,Percent of all livestock,30
Texas,Pigs,Genetically engineered (GE) pigs,High-yield,2015,Percent of all pigs,45
California,Chickens,Genetically engineered (GE) chickens,High-yield,2011,Percent of all chickens,37
Iowa,Pigs,Genetically engineered (GE) pigs,High-yield,2012,Percent of all chickens,65
Iowa,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2010,Percent of all pigs,37
Kansas,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2013,Percent of all cattle,51
Iowa,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2022,Percent of all cattle,65
Kansas,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2021,Percent of all cattle,78
California,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2022,Percent of all pigs,80
Kansas,Cattle,Genetically engineered (GE) pigs,High-yield,2023,Percent of all cattle,68
Texas,Chickens,Genetically engineered (GE) cattle,Growth hormone-enhanced,2019,Percent of all livestock,5
Nebraska,Chickens,Genetically engineered (GE) pigs,Disease-resistant,2023,Percent of all pigs,30
Kansas,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2020,Percent of all livestock,39
Kansas,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2023,Percent of all pigs,28
Iowa,Cattle,Genetically engineered (GE) pigs,High-yield,2015,Percent of all pigs,7
California,Chickens,Genetically engineered (GE) cattle,High-yield,2011,Percent of all chickens,23
Nebraska,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2020,Percent of all livestock,11
Kansas,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2020,Percent of all livestock,56
Kansas,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2022,Percent of all cattle,77
Iowa,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2015,Percent of all livestock,98
Nebraska,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2011,Percent of all cattle,11
Texas,Cattle,Genetically engineered (GE) pigs,High-yield,2023,Percent of all chickens,73
Nebraska,Pigs,Genetically engineered (GE) chickens,High-yield,2016,Percent of all pigs,38
Texas,Chickens,Genetically engineered (GE) pigs,High-yield,2024,Percent of all pigs,55
Iowa,Chickens,Genetically engineered (GE) pigs,Disease-resistant,2024,Percent of all pigs,62
Texas,Pigs,Genetically engineered (GE) pigs,High-yield,2017,Percent of all chickens,94
Texas,Pigs,Genetically engineered (GE) chickens,High-yield,2011,Percent of all livestock,58
Texas,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2019,Percent of all cattle,82
Texas,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2024,Percent of all chickens,94
California,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2012,Percent of all chickens,59
Texas,Chickens,Genetically engineered (GE) pigs,High-yield,2011,Percent of all pigs,29
Iowa,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2022,Percent of all cattle,38
Texas,Cattle,Genetically engineered (GE) chickens,High-yield,2024,Percent of all pigs,45
California,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2017,Percent of all chickens,71
California,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2016,Percent of all livestock,72
Nebraska,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2024,Percent of all pigs,93
Kansas,Cattle,Genetically engineered (GE) chickens,Growth hormone-enhanced,2023,Percent of all livestock,77
Iowa,Pigs,Genetically engineered (GE) pigs,High-yield,2014,Percent of all chickens,32
Texas,Pigs,Genetically engineered (GE) chickens,High-yield,2015,Percent of all livestock,53
Texas,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2021,Percent of all livestock,17
California,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2018,Percent of all pigs,51
Iowa,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2022,Percent of all chickens,75
Texas,Chickens,Genetically engineered (GE) pigs,Disease-resistant,2023,Percent of all cattle,71
California,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2011,Percent of all livestock,82
Kansas,Chickens,Genetically engineered (GE) cattle,High-yield,2023,Percent of all livestock,56
Nebraska,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2015,Percent of all cattle,48
Texas,Chickens,Genetically engineered (GE) pigs,Growth hormone-enhanced,2016,Percent of all cattle,47
Texas,Pigs,Genetically engineered (GE) chickens,Growth hormone-enhanced,2018,Percent of all chickens,9
Texas,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2017,Percent of all chickens,12
Nebraska,Pigs,Genetically engineered (GE) pigs,High-yield,2024,Percent of all cattle,4
Nebraska,Cattle,Genetically engineered (GE) chickens,High-yield,2019,Percent of all cattle,0
California,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2012,Percent of all chickens,91
